city,state_name,lat,lng,id
Lynden,Washington,48.9503,-122.4544,1840019752
Coupeville,Washington,48.2172,-122.6775,1840021075
Prescott,Washington,46.2988,-118.3126,1840021175
South Bend,Washington,46.6680,-123.8008,1840021161
Mabton,Washington,46.2115,-119.9938,1840019873
North Bend,Washington,47.4898,-121.7738,1840019833
Grapeview,Washington,47.3316,-122.8413,1840037554
Garfield,Washington,47.0103,-117.1395,1840021141
Rochester,Washington,46.8288,-123.0722,1840018459
Dayton,Washington,46.3168,-117.9769,1840018486
Algona,Washington,47.2822,-122.2504,1840018415
Mineral,Washington,46.7193,-122.1859,1840025263
Barstow,Washington,48.7783,-118.1329,1840026089
Moclips,Washington,47.2348,-124.2025,1840018442
Bellingham,Washington,48.7543,-122.4687,1840018346
Vader,Washington,46.4045,-122.9569,1840021163
North Lynnwood,Washington,47.8533,-122.2762,1840037895
Tracyton,Washington,47.6095,-122.6533,1840018408
White Salmon,Washington,45.7282,-121.4853,1840021191
Peaceful Valley,Washington,48.9477,-122.1406,1840037896
East Renton Highlands,Washington,47.4718,-122.0854,1840037866
Metaline,Washington,48.8540,-117.3899,1840022276
Deming,Washington,48.8381,-122.2313,1840018345
Medical Lake,Washington,47.5712,-117.6893,1840019804
Aberdeen,Washington,46.9757,-123.8095,1840018446
Chehalis,Washington,46.6637,-122.9647,1840018472
Onalaska,Washington,46.5783,-122.7112,1840025264
Toledo,Washington,46.4414,-122.8496,1840021162
Everson,Washington,48.9123,-122.3510,1840019750
Belfair,Washington,47.4495,-122.8487,1840025252
Lynnwood,Washington,47.8285,-122.3035,1840019788
Colton,Washington,46.5675,-117.1285,1840022315
Malden,Washington,47.2296,-117.4731,1840022313
Ames Lake,Washington,47.6346,-121.9664,1840037846
Wilson Creek,Washington,47.4230,-119.1176,1840022294
North Yelm,Washington,46.9647,-122.6029,1840037880
Mirrormont,Washington,47.4616,-121.9936,1840037876
Whidbey Island Station,Washington,48.3387,-122.6616,1840073897
Town and Country,Washington,47.7259,-117.4221,1840037888
Tokeland,Washington,46.7090,-123.9839,1840018469
Snoqualmie,Washington,47.5293,-121.8412,1840021119
Bremerton,Washington,47.5436,-122.7121,1840018410
East Cathlamet,Washington,46.1968,-123.3580,1840037849
Fort Lewis,Washington,47.0955,-122.5672,1840073933
Salmon Creek,Washington,45.7099,-122.6632,1840018520
Skykomish,Washington,47.7103,-121.3586,1840022299
Tacoma,Washington,47.2431,-122.4531,1840021129
Monroe,Washington,47.8596,-121.9853,1840019791
Loomis,Washington,48.8235,-119.6398,1840025235
Pomeroy,Washington,46.4737,-117.5967,1840019891
Brush Prairie,Washington,45.7250,-122.5483,1840017398
Silver Firs,Washington,47.8635,-122.1497,1840037898
Nespelem,Washington,48.1670,-118.9722,1840022268
Meadowdale,Washington,47.8583,-122.3156,1840023774
Shadow Lake,Washington,47.4017,-122.0764,1840042051
LaCrosse,Washington,46.8021,-117.9013,1840037498
Concrete,Washington,48.5371,-121.7512,1840022283
Sumas,Washington,48.9956,-122.2695,1840021045
Ruston,Washington,47.2982,-122.5100,1840021132
La Center,Washington,45.8589,-122.6764,1840019910
Marrowstone,Washington,48.0568,-122.6933,1840037856
Chelan Falls,Washington,47.7995,-119.9882,1840025245
Lake Cavanaugh,Washington,48.3225,-122.0122,1840037851
Duluth,Washington,45.7838,-122.6470,1840140854
Sequim,Washington,48.0747,-123.0944,1840021076
Benton City,Washington,46.2624,-119.4814,1840018480
Moses Lake,Washington,47.1284,-119.2741,1840019817
Fircrest,Washington,47.2308,-122.5157,1840019854
Othello,Washington,46.8222,-119.1651,1840019862
Mercer Island,Washington,47.5625,-122.2265,1840019830
Enumclaw,Washington,47.2017,-121.9897,1840019825
Chico,Washington,47.6234,-122.7198,1840037630
Enetai,Washington,47.5885,-122.6058,1840023794
Hunts Point,Washington,47.6420,-122.2290,1840021122
Clinton,Washington,47.9731,-122.3577,1840037632
Hat Island,Washington,48.0130,-122.3201,1840041926
Marietta-Alderwood,Washington,48.7932,-122.5566,1840073928
